"","Codigo","Companhia","Ano","Management.Council","Statutory.Directors","Fiscal.Council"
"284",45,"POLPAR S.A.","2017",0,0,0
"285",45,"POLPAR S.A.","2016",0,0,0
"286",45,"POLPAR S.A.","2015",0,0,0
"287",45,"POLPAR S.A.","2014",0,0,0
"288",45,"POLPAR S.A.","2013",0,0,0
"289",45,"POLPAR S.A.","2012",0,0,0
"290",45,"POLPAR S.A.","2011",0,0,0
"291",45,"POLPAR S.A.","2010",0,0,0
"292",46,"PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A","2017",0,0,0
"293",46,"PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A","2016",0,0,0
"294",46,"PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A","2015",0,0,0
"295",46,"PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A","2014",0,0,0
"296",46,"PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A","2013",0,0,0
"297",46,"PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A","2012",0,0,0
"298",46,"PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A","2011",0,0,0
"299",46,"PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A","2010",0,0,0
"300",47,"MINUPAR PARTICIPACOES SA","2017",0,0,0
"301",47,"MINUPAR PARTICIPACOES SA","2016",0,0,0
"302",47,"MINUPAR PARTICIPACOES SA","2015",0,0,0
"303",47,"MINUPAR PARTICIPACOES SA","2014",0,0,0
"304",47,"MINUPAR PARTICIPACOES SA","2013",0,0,0
"305",47,"MINUPAR PARTICIPACOES SA","2012",0,0,0
"306",47,"MINUPAR PARTICIPACOES SA","2011",0,0,0
"307",47,"MINUPAR PARTICIPACOES SA","2010",0,0,0
"308",48,"PBG S/A","2017",0,23.47,0
"309",48,"PBG S/A","2016",0,6.57,0
"310",48,"PBG S/A","2015",0,32.85,0
"311",48,"PBG S/A","2014",0,18.61,0
"312",48,"PBG S/A","2013",0,27.58,0
"313",48,"PBG S/A","2012",0,20.64,0
"314",48,"PBG S/A","2011",0,0,0
"315",48,"PBG S/A","2010",43.99,44.14,0
"316",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2017",41.95,43.72,0
"317",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2016",46.02,47.51,0
"318",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2015",41.24,42.98,0
"319",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2014",41.7,42.98,0
"320",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2013",39.59,37.17,0
"321",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2012",16.35,30.48,0
"322",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2011",0,34.45,0
"323",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2010",0,0,0
"324",50,"BANCO ALFA DE INVESTIMENTO SA","2017",0,0,0
"325",50,"BANCO ALFA DE INVESTIMENTO SA","2016",0,0,0
"326",50,"BANCO ALFA DE INVESTIMENTO SA","2015",0,0,0
"327",50,"BANCO ALFA DE INVESTIMENTO SA","2014",0,0,0
"328",50,"BANCO ALFA DE INVESTIMENTO SA","2013",0,0,0
"329",50,"BANCO ALFA DE INVESTIMENTO SA","2012",0,0,0
"330",50,"BANCO ALFA DE INVESTIMENTO SA","2011",17.92,20.59,0
"331",50,"BANCO ALFA DE INVESTIMENTO SA","2010",37.92,29.81,0
"332",52,"SUZANO PAPEL E CELULOSE SA","2017",38.44,55.89,0
"333",52,"SUZANO PAPEL E CELULOSE SA","2016",39.24,49.85,0
"334",52,"SUZANO PAPEL E CELULOSE SA","2015",42.24,43.15,0
"335",52,"SUZANO PAPEL E CELULOSE SA","2014",48.73,48.01,0
"336",52,"SUZANO PAPEL E CELULOSE SA","2013",41.23,50.2,0
"337",52,"SUZANO PAPEL E CELULOSE SA","2012",52.15,43.41,0
"338",52,"SUZANO PAPEL E CELULOSE SA","2011",23.04,33.24,0
"339",52,"SUZANO PAPEL E CELULOSE SA","2010",0,14.09,0
"340",53,"YARA BRASIL FERTILIZANTES","2010",0,0,0
"341",54,"VALE FERTILIZANTES S.A.","2010",0,0,0
"342",55,"BFB LEASING S.A. ARRENDAMENTO MERCANTIL","2010",0,37.29,0
"343",56,"RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES","2017",32.48,36.65,0
"344",56,"RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES","2016",25.17,39.06,0
"345",56,"RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES","2015",32.3,41.62,0
"346",56,"RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES","2014",34.72,43.26,0
"347",56,"RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES","2013",32.98,42.62,0
"348",56,"RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES","2012",30.79,44.02,0
"349",56,"RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES","2011",38.21,53.38,0
"350",56,"RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES","2010",0,0,0
"351",57,"TEC TOY S/A","2017",0,0,0
"352",57,"TEC TOY S/A","2016",0,0,0
"353",57,"TEC TOY S/A","2015",0,0,0
"354",57,"TEC TOY S/A","2014",0,0,0
"355",57,"TEC TOY S/A","2013",0,0,0
"356",57,"TEC TOY S/A","2012",0,0,0
"357",57,"TEC TOY S/A","2011",0,0,0
"358",57,"TEC TOY S/A","2010",0,33.84,0
"359",58,"ELETROPAULO METROPOLITANA EL.S.PAULO S.A","2017",0,27.16,0
"360",58,"ELETROPAULO METROPOLITANA EL.S.PAULO S.A","2016",0,25.05,0
"361",58,"ELETROPAULO METROPOLITANA EL.S.PAULO S.A","2015",0,35.7,0
"362",58,"ELETROPAULO METROPOLITANA EL.S.PAULO S.A","2014",0,36.61,0
"363",58,"ELETROPAULO METROPOLITANA EL.S.PAULO S.A","2013",0,36.09,0
