"","Código","Companhia","Ano","NIV","Management.Council","Statutory.Directors","Fiscal.Council","APC","RM","RMRANKIT","POEDIRECTOR","PO","AMDIRECTOR","AM","SIZE"
"169",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2017",0,0,0,0,0,933333.33,379,"",1,"59",1,0
"170",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2016",0,0,0,0,0,0,0,"",0,"",0,0
"171",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2015",0,0,0,0,0,0,0,"",0,"",0,0
"172",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2014",0,0,0,0,0,1123000,121,"",1,"58",4,0
"173",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2013",0,0,0,0,0,794416.67,190,"",1,"58",4,0
"174",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2012",0,0,0,0,0,755083.33,150,"",1,"58",4,0
"175",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2011",0,0,0,0,5411759,815000,215,"",0,"58",4,0
"176",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2010",0,0,1.8,0,5272180,619716.67,405,"",1,"736",1,0
"177",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2017",0,0,2.48,0,0,1103485,99,"",0,"580",5,0
"178",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2016",0,0,3.18,0,0,665511.11,40,"",0,"580",5,0
"179",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2015",0,0,3.7,0,0,631444.44,425,"",0,"580",5,0
"180",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2014",0,0,3.7,0,852346,589428.59,368,"",0,"580",5,0
"181",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2013",0,0,3.7,0,0,523079.4,286,"",0,"580",5,0
"182",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2012",0,0,3.7,0,1687072,481891.47,226,"",0,"",0,0
"183",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2011",0,0,2.1,0,843515,440601.37,176,"",0,"",0,0
"184",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2010",0,0,0,0,843515,506866.61,260,"",0,"",0,0
"185",26,"BOMBRIL SA","2017",0,0,0,0,0,1977888.25,271,"",0,"843",1,13.4377082811228
"186",26,"BOMBRIL SA","2016",0,0,0,0,0,1904728.58,239,"",0,"581",2,13.4745669395986
"187",26,"BOMBRIL SA","2015",0,0,25.08,0,0,2440638.25,41,"",0,"581",2,13.4609391144023
"188",26,"BOMBRIL SA","2014",0,0,26.31,0,0,1856402.25,204,"",0,"540",1,13.5344505114214
"189",26,"BOMBRIL SA","2013",0,0,25.48,0,0,1629816.75,59,"",0,"649",2,13.4738663698295
"190",26,"BOMBRIL SA","2012",0,0,7.47,0,0,1407517.03,336,"",0,"649",2,13.4868912065695
"191",26,"BOMBRIL SA","2011",0,0,27.71,0,0,1343327.32,295,"",0,"72",1,13.4375083679457
"192",26,"BOMBRIL SA","2010",0,0,0,0,0,1269168.56,235,"",0,"",0,13.4163097878558
"193",27,"COSTA PINTO S.A.","2012",0,0,0,0,0,37808.53,77,"",1,"899",2,0
"194",27,"COSTA PINTO S.A.","2011",0,0,40.48,0,0,60000,121,"",1,"899",2,0
"195",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2016",0,0,34.74,0,0,1013522.78,8,"",0,"155",2,0
"196",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2015",0,0,24.55,0,0,2506542.2,82,"",0,"155",2,0
"197",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2014",0,0,22.2,0,0,2192753.69,384,"",0,"297",1,0
"198",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2013",0,0,11.86,0,0,2134993.57,357,"",0,"150",1,0
"199",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2012",0,0,27.77,0,0,1815521.87,172,"",1,"792",3,0
"200",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2011",0,0,0,0,0,1858543.86,208,"",0,"792",3,0
"201",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2010",0,0,9.84,0,0,83905,157,"",0,"792",3,0
"202",29,"BANCO DO NORDESTE DO BRASIL SA","2017",0,0,10.14,0,0,1671319.86,88,"",0,"887",1,0
"203",29,"BANCO DO NORDESTE DO BRASIL SA","2016",0,0,11.8,0,0,1062101.89,59,"",0,"647",3,0
"204",29,"BANCO DO NORDESTE DO BRASIL SA","2015",0,0,0,0,0,1602814.57,35,"",0,"647",3,0
"205",29,"BANCO DO NORDESTE DO BRASIL SA","2014",0,0,0,0,0,1799617.47,158,"",0,"647",3,0
